timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
1179.0,1,3,237568.0,1237568.0,7.951976349560563,7951976349560564.0,0.004490539553633199,5.113100199119876e-12,5.800462467539592e-09,0.000881498712858446,0.003609040840774753
1180.0,1,3,98304.0,1098304.0,7.980297780997031,7980297780997032.0,0.003971074207184655,1.4231975609786306e-10,8.114181074957179e-09,0.017539632747056257,0.0
1180.0,1,7,98304.0,1098304.0,7.980297780997031,7980297780997032.0,0.003971074207184655,2.8457707339867665e-11,2.2934885300663825e-09,0.012408044324967253,0.0
1181.0,1,3,188416.0,1188416.0,7.980297780997031,7980297780997032.0,0.004296886950248345,2.9273041829567885e-11,1.0303946245009222e-08,0.0028409544395426615,0.0014559325107056835
1182.0,1,3,303104.0,1303104.0,7.991761074659384,7991761074659385.0,0.004704799507892441,1.5801850326672676e-11,1.2612895517218375e-08,0.001252832888776485,0.0034519666191159554
1184.0,1,3,311296.0,1311296.0,8.019028031545766,8019028031545767.0,0.0047182781476644035,4.683642704744497e-12,1.136116744656887e-08,0.0004122501254181392,0.004306028022246265
1186.0,1,3,188416.0,1188416.0,8.053215340812258,8053215340812259.0,0.004257980935947925,8e-13,8.51689687708522e-09,9.393092478933336e-05,0.004164050011158591
1186.0,1,0,188416.0,1188416.0,8.053215340812258,8053215340812259.0,0.004257980935947925,8.796487938788563e-12,2.2024422596204306e-09,0.0039939698307026456,0.00026401110524527927
1188.0,1,3,286720.0,1286720.0,8.086460504820105,8086460504820106.0,0.004591241277703969,8e-13,5.781254287584889e-09,0.00013837827575202525,0.004452863001951943
1188.0,1,7,286720.0,1286720.0,8.086460504820105,8086460504820106.0,0.004591241277703969,1.2378213293461248e-11,7.410498021951531e-09,0.001670361864586462,0.0029208794131175067
1188.0,1,0,286720.0,1286720.0,8.086460504820105,8086460504820106.0,0.004591241277703969,2.9217031398094666e-12,2.673823743698661e-09,0.0010927059596560834,0.0034985353180478854
1188.0,1,2,286720.0,1286720.0,8.086460504820105,8086460504820106.0,0.004591241277703969,2.672017825444325e-12,2.002302123633518e-09,0.0013344728519767504,0.0032567684257272184
1190.0,1,3,204800.0,1204800.0,8.122214288164534,8122214288164535.0,0.004280012626103254,4.771851849603736e-12,3.733316708135662e-09,0.00127818029453673,0.003001832331566524
1190.0,1,7,204800.0,1204800.0,8.122214288164534,8122214288164535.0,0.004280012626103254,5.699054674550137e-12,5.17012417387543e-09,0.001102305183180587,0.003177707442922667
1190.0,1,0,204800.0,1204800.0,8.122214288164534,8122214288164535.0,0.004280012626103254,2.7470806742273326e-12,3.189438559246304e-09,0.0008613054063272174,0.0034187072197760368
